Name
Viognier-Gewürztraminer
Viognier-Grenache Blanc
Viognier-Marsanne
Viosinho
Vitovska
Viura
Viura-Chardonnay
Viura-Verdejo
Vranec
Weissburgunder
Welschriesling
White Blend
White Riesling
Xarel-lo
Xinomavro
Zibibbo
Zierfandler
Zierfandler-Rotgipfler
Zinfandel
Zlahtina
Zweigelt
