Vintage,Country_id,Points,Price,Name,Varietal_id,Winery
1/1/11,32,85,$18.00,Marqués de Vizhoja 2011 Torre la Moreira Albariño (Rías Baixas),5,Marqués de Vizhoja
1/1/12,32,85,$11.00,Raimat 2012 Castell de Raimat Albariño (Costers del Segre),5,Raimat
1/1/12,32,89,$17.00,Val do Sosego 2012 Albariño (Rías Baixas),5,Val do Sosego
1/1/12,32,90,$20.00,Terras Gauda 2012 Abadia de San Campio Albariño (Rías Baixas),5,Terras Gauda
1/1/12,32,89,$25.00,Pazo de Señorans 2012 Albariño (Rías Baixas),5,Pazo de Señorans
1/1/12,32,90,$19.00,Nora 2012 Albariño (Rías Baixas),5,Nora
1/1/12,32,87,$14.00,Fulget 2012 Albariño (Rías Baixas),5,Fulget
1/1/12,32,88,$17.00,Nessa 2012 Albariño (Rías Baixas),5,Nessa
1/1/12,32,88,$20.00,Maior de Mendoza 2012 Argos Albariño (Rías Baixas),5,Maior de Mendoza
1/1/12,32,90,$14.00,Lagar de Indra 2012 Albariño (Rías Baixas),5,Lagar de Indra
1/1/12,32,85,$12.00,Pazo Serantellos 2012 Albariño (Rías Baixas),5,Pazo Serantellos
1/1/13,32,89,$20.00,Terras de Lantaño 2013 Albariño (Rías Baixas),5,Terras de Lantaño
1/1/13,32,83,$18.00,Eterna Juventud 2013 Albariño (Rías Baixas),5,Eterna Juventud
1/1/13,32,90,$22.00,As Laxas 2013 Albariño (Rías Baixas),5,As Laxas
1/1/13,32,83,$20.00,Bouza de Carril 2013 Albariño (Rías Baixas),5,Bouza de Carril
1/1/13,32,85,$15.00,Bodegas Carballal 2013 Estylo Puro Albariño (Rías Baixas),5,Bodegas Carballal
1/1/13,32,81,$32.00,Attis 2013 Nana Albariño (Rías Baixas),5,Attis
1/1/13,32,89,$25.00,Pazo de Señorans 2013 Albariño (Rías Baixas),5,Pazo de Señorans
1/1/14,32,84,$18.00,Attis 2014 Lías Finas Albariño (Rías Baixas),5,Attis
1/1/14,32,89,$20.00,Terras Gauda 2014 Abadia de San Campio Albariño (Rías Baixas),5,Terras Gauda
1/1/14,32,89,$15.00,Vionta 2014 Limited Release Albariño (Rías Baixas),5,Vionta
1/1/14,32,91,$22.00,Granbazán 2014 Etiqueta Ambar Albariño (Rías Baixas),5,Granbazán
1/1/14,32,87,$20.00,Altos de Cristimil 2014 Albariño (Rías Baixas),5,Altos de Cristimil
1/1/14,32,90,$20.00,Castro Brey 2014 Sin Palabras Castrovaldés Albariño (Rías Baixas),5,Castro Brey
1/1/14,32,84,$18.00,Vieira de Plata 2014 Albariño (Rías Baixas),5,Vieira de Plata
1/1/14,32,84,$20.00,Bouza de Carril 2014 Albariño (Rías Baixas),5,Bouza de Carril
1/1/14,32,90,$17.00,Mar de Viñas 2014 Albariño (Rías Baixas),5,Mar de Viñas
1/1/14,32,91,$22.00,Bágoa do Miño 2014 Lágrima Albariño (Rías Baixas),5,Bágoa do Miño
1/1/14,32,89,$25.00,Mar de Frades 2014 Val do Salnés Albariño (Rías Baixas),5,Mar de Frades
1/1/14,32,90,$32.00,La Caña 2014 Navia Albariño (Rías Baixas),5,La Caña
1/1/15,32,90,$20.00,Bodegas Muriel 2015 Pazo Cilleiro Albariño (Rías Baixas),5,Bodegas Muriel
1/1/15,32,87,$17.00,Bouza de Carril 2015 Albariño (Rías Baixas),5,Bouza de Carril
1/1/15,32,87,$16.00,Nora 2015 Peitán Albariño (Rías Baixas),5,Nora
1/1/15,32,87,$15.00,Vionta 2015 Limited Release Albariño (Rías Baixas),5,Vionta
1/1/15,32,88,$23.00,Gotas de Mar 2015 Albariño (Rías Baixas),5,Gotas de Mar
1/1/15,32,89,$27.00,Adegas Gran Vinum 2015 Selección Especial Albariño (Rías Baixas),5,Adegas Gran Vinum
1/1/15,32,90,$15.00,Bodegas Eidosela 2015 Ethereo Albariño (Rías Baixas),5,Bodegas Eidosela
1/1/15,32,91,$23.00,Adegas Gran Vinum 2015 Esencia Diviña Albariño (Rías Baixas),5,Adegas Gran Vinum
1/1/15,32,88,$25.00,Mar de Frades 2015 Albariño (Rías Baixas),5,Mar de Frades
1/1/16,32,88,$14.00,Condes de Albarei 2016 Albariño (Rías Baixas),5,Condes de Albarei
1/1/16,32,87,$19.00,Con un Par 2016 Albariño (Rías Baixas),5,Con un Par
1/1/16,32,88,$18.00,La Caña 2016 Albariño Albariño (Rías Baixas),5,La Caña
1/1/16,32,88,$22.00,Paco & Lola 2016 Albariño (Rías Baixas),5,Paco & Lola
